BW = 10000;AVG = 15
+7.100000E+9	-1.924207E-2	+9.418369E-1
+7.100015E+9	-1.920761E-2	+9.414288E-1
+7.100030E+9	-1.884910E-2	+9.410754E-1
+7.100045E+9	-1.868934E-2	+9.410117E-1
+7.100060E+9	-1.824393E-2	+9.412881E-1
+7.100075E+9	-1.777097E-2	+9.404596E-1
+7.100090E+9	-1.798148E-2	+9.411896E-1
+7.100105E+9	-1.792379E-2	+9.413193E-1
+7.100120E+9	-1.815590E-2	+9.408279E-1
+7.100135E+9	-1.847807E-2	+9.410120E-1
+7.100150E+9	-1.737906E-2	+9.410157E-1
+7.100165E+9	-1.756325E-2	+9.411711E-1
+7.100180E+9	-1.759566E-2	+9.410671E-1
+7.100195E+9	-1.732959E-2	+9.406407E-1
+7.100210E+9	-1.693476E-2	+9.411906E-1
+7.100225E+9	-1.700309E-2	+9.417236E-1
+7.100240E+9	-1.706366E-2	+9.412817E-1
+7.100255E+9	-1.677638E-2	+9.418590E-1
+7.100270E+9	-1.664295E-2	+9.411942E-1
+7.100285E+9	-1.643257E-2	+9.410365E-1
+7.100300E+9	-1.663591E-2	+9.408316E-1
+7.100315E+9	-1.668002E-2	+9.409593E-1
+7.100330E+9	-1.694965E-2	+9.407992E-1
+7.100345E+9	-1.614133E-2	+9.404125E-1
+7.100360E+9	-1.554080E-2	+9.406956E-1
+7.100375E+9	-1.545805E-2	+9.409488E-1
+7.100390E+9	-1.526598E-2	+9.410635E-1
+7.100405E+9	-1.461544E-2	+9.412056E-1
+7.100420E+9	-1.517247E-2	+9.412366E-1
+7.100435E+9	-1.501009E-2	+9.411408E-1
+7.100450E+9	-1.447361E-2	+9.411792E-1
+7.100465E+9	-1.449968E-2	+9.411703E-1
+7.100480E+9	-1.496098E-2	+9.415939E-1
+7.100495E+9	-1.440982E-2	+9.410440E-1
+7.100510E+9	-1.377527E-2	+9.412147E-1
+7.100525E+9	-1.401739E-2	+9.413829E-1
+7.100540E+9	-1.393859E-2	+9.417300E-1
+7.100555E+9	-1.398786E-2	+9.413372E-1
+7.100570E+9	-1.386688E-2	+9.413277E-1
+7.100585E+9	-1.347476E-2	+9.410674E-1
+7.100600E+9	-1.347813E-2	+9.412109E-1
+7.100615E+9	-1.263056E-2	+9.408932E-1
+7.100630E+9	-1.297759E-2	+9.405856E-1
+7.100645E+9	-1.308543E-2	+9.408031E-1
+7.100660E+9	-1.305414E-2	+9.415375E-1
+7.100675E+9	-1.250128E-2	+9.415754E-1
+7.100690E+9	-1.219960E-2	+9.418791E-1
+7.100705E+9	-1.227286E-2	+9.419517E-1
+7.100720E+9	-1.241787E-2	+9.412720E-1
+7.100735E+9	-1.190852E-2	+9.411310E-1
+7.100750E+9	-1.152225E-2	+9.409884E-1
+7.100765E+9	-1.213359E-2	+9.407938E-1
+7.100780E+9	-1.199822E-2	+9.413078E-1
+7.100795E+9	-1.204177E-2	+9.414008E-1
+7.100810E+9	-1.162958E-2	+9.413002E-1
+7.100825E+9	-1.096124E-2	+9.406069E-1
+7.100840E+9	-1.076794E-2	+9.408206E-1
+7.100855E+9	-1.139570E-2	+9.411076E-1
+7.100870E+9	-1.085979E-2	+9.405639E-1
+7.100885E+9	-1.009439E-2	+9.399951E-1
+7.100900E+9	-1.042704E-2	+9.416446E-1
+7.100915E+9	-1.066589E-2	+9.413262E-1
+7.100930E+9	-1.021746E-2	+9.414189E-1
+7.100945E+9	-1.031194E-2	+9.417367E-1
+7.100960E+9	-9.826990E-3	+9.413866E-1
+7.100975E+9	-1.003216E-2	+9.415238E-1
+7.100990E+9	-1.023411E-2	+9.416283E-1
+7.101005E+9	-1.034059E-2	+9.416816E-1
+7.101020E+9	-9.628904E-3	+9.414988E-1
+7.101035E+9	-9.860247E-3	+9.411388E-1
+7.101050E+9	-9.277489E-3	+9.411639E-1
+7.101065E+9	-9.148535E-3	+9.406908E-1
+7.101080E+9	-9.186003E-3	+9.410096E-1
+7.101095E+9	-9.104043E-3	+9.407795E-1
+7.101110E+9	-8.727294E-3	+9.418169E-1
+7.101125E+9	-8.415795E-3	+9.407576E-1
+7.101140E+9	-8.332328E-3	+9.411021E-1
+7.101155E+9	-8.579178E-3	+9.410995E-1
+7.101170E+9	-8.319561E-3	+9.411744E-1
+7.101185E+9	-8.221132E-3	+9.414806E-1
+7.101200E+9	-7.989453E-3	+9.404720E-1
+7.101215E+9	-7.388343E-3	+9.412018E-1
+7.101230E+9	-8.075600E-3	+9.417161E-1
+7.101245E+9	-7.907152E-3	+9.413630E-1
+7.101260E+9	-7.379643E-3	+9.413792E-1
+7.101275E+9	-7.218250E-3	+9.416295E-1
+7.101290E+9	-7.101662E-3	+9.409780E-1
+7.101305E+9	-6.845571E-3	+9.412815E-1
+7.101320E+9	-6.950184E-3	+9.413863E-1
+7.101335E+9	-6.930771E-3	+9.410509E-1
+7.101350E+9	-6.841537E-3	+9.412253E-1
+7.101365E+9	-6.156484E-3	+9.413019E-1
+7.101380E+9	-5.707599E-3	+9.412568E-1
+7.101395E+9	-5.494403E-3	+9.415012E-1
+7.101410E+9	-5.642458E-3	+9.410474E-1
+7.101425E+9	-6.317912E-3	+9.406049E-1
+7.101440E+9	-5.575432E-3	+9.408711E-1
+7.101455E+9	-5.418322E-3	+9.415087E-1
+7.101470E+9	-5.228694E-3	+9.419260E-1
+7.101485E+9	-5.245498E-3	+9.420635E-1
+7.101500E+9	-5.004794E-3	+9.413145E-1
+7.101515E+9	-4.413260E-3	+9.414370E-1
+7.101530E+9	-4.072773E-3	+9.419867E-1
