BW = 10000;AVG = 15
+7.100000E+9	-1.859008E-2	+9.417171E-1
+7.100015E+9	-1.823526E-2	+9.414107E-1
+7.100030E+9	-1.861436E-2	+9.411567E-1
+7.100045E+9	-1.810739E-2	+9.409402E-1
+7.100060E+9	-1.778173E-2	+9.408560E-1
+7.100075E+9	-1.719809E-2	+9.405901E-1
+7.100090E+9	-1.736982E-2	+9.406664E-1
+7.100105E+9	-1.759731E-2	+9.418939E-1
+7.100120E+9	-1.754006E-2	+9.405816E-1
+7.100135E+9	-1.798369E-2	+9.410214E-1
+7.100150E+9	-1.674501E-2	+9.410776E-1
+7.100165E+9	-1.705810E-2	+9.408703E-1
+7.100180E+9	-1.722588E-2	+9.411126E-1
+7.100195E+9	-1.735401E-2	+9.408085E-1
+7.100210E+9	-1.680955E-2	+9.409045E-1
+7.100225E+9	-1.686745E-2	+9.418482E-1
+7.100240E+9	-1.629508E-2	+9.415162E-1
+7.100255E+9	-1.602420E-2	+9.414564E-1
+7.100270E+9	-1.621780E-2	+9.410690E-1
+7.100285E+9	-1.599935E-2	+9.406033E-1
+7.100300E+9	-1.618919E-2	+9.413464E-1
+7.100315E+9	-1.617839E-2	+9.410447E-1
+7.100330E+9	-1.570806E-2	+9.409817E-1
+7.100345E+9	-1.563068E-2	+9.405027E-1
+7.100360E+9	-1.484382E-2	+9.406620E-1
+7.100375E+9	-1.475975E-2	+9.408043E-1
+7.100390E+9	-1.459196E-2	+9.409811E-1
+7.100405E+9	-1.439861E-2	+9.415269E-1
+7.100420E+9	-1.496163E-2	+9.413524E-1
+7.100435E+9	-1.440948E-2	+9.414408E-1
+7.100450E+9	-1.370529E-2	+9.413350E-1
+7.100465E+9	-1.361089E-2	+9.415171E-1
+7.100480E+9	-1.419162E-2	+9.413572E-1
+7.100495E+9	-1.367975E-2	+9.410897E-1
+7.100510E+9	-1.301117E-2	+9.413937E-1
+7.100525E+9	-1.328673E-2	+9.414866E-1
+7.100540E+9	-1.385798E-2	+9.415035E-1
+7.100555E+9	-1.370560E-2	+9.416228E-1
+7.100570E+9	-1.364591E-2	+9.414816E-1
+7.100585E+9	-1.299716E-2	+9.412078E-1
+7.100600E+9	-1.291785E-2	+9.412447E-1
+7.100615E+9	-1.241589E-2	+9.409195E-1
+7.100630E+9	-1.234800E-2	+9.408917E-1
+7.100645E+9	-1.177358E-2	+9.407479E-1
+7.100660E+9	-1.267613E-2	+9.414670E-1
+7.100675E+9	-1.213087E-2	+9.417695E-1
+7.100690E+9	-1.171450E-2	+9.418954E-1
+7.100705E+9	-1.198880E-2	+9.412785E-1
+7.100720E+9	-1.186090E-2	+9.410017E-1
+7.100735E+9	-1.116396E-2	+9.409329E-1
+7.100750E+9	-1.154485E-2	+9.411437E-1
+7.100765E+9	-1.129117E-2	+9.410353E-1
+7.100780E+9	-1.153729E-2	+9.415469E-1
+7.100795E+9	-1.105585E-2	+9.413845E-1
+7.100810E+9	-1.101159E-2	+9.409813E-1
